Origin_desc,Total_Scheduled_Departure,Canceled_Flights,Operated-Flights
Kansas City International Airport,38665,443,38222
Ketchikan International Airport,2319,28,2291
Key West International Airport,1973,19,1954
Killeen-Fort Hood Regional Airport,4033,156,3877
King Salmon Airport,63,0,63
Kodiak Airport,460,23,437
Kona International Airport at Keahole,11114,40,11074
La Crosse Regional Airport,1645,63,1582
LaGuardia Airport (Marine Air Terminal),99605,4531,95074
Lafayette Regional Airport,5149,126,5023
Lake Charles Regional Airport,1860,56,1804
Laramie Regional Airport,581,24,557
Laredo International Airport,2202,64,2138
Lawton-Fort Sill Regional Airport,1331,94,1237
Lea County Regional Airport,571,23,548
Lehigh Valley International Airport,2274,39,2235
Lewiston-Nez Perce County Airport,588,0,588
Lihue Airport,10545,44,10501
Lincoln Airport (Lincoln Municipal),2636,68,2568
Long Beach Airport (Daugherty Field),8777,60,8717
Long Island MacArthur Airport,4392,135,4257
Los Angeles International Airport,194673,2164,192509
Louis Armstrong New Orleans International Airport,38804,411,38393
Louisville International Airport (Standiford Field),10204,231,9973
Lubbock Preston Smith International Airport,4637,162,4475
Luis Muñoz Marín International Airport,24656,191,24465
MBS International Airport,1721,67,1654
Magic Valley Regional Airport (Joslin Field),815,9,806
Mammoth Yosemite Airport,156,16,140
Manchester-Boston Regional Airport,6292,151,6141
Manhattan Regional Airport,1634,68,1566
Martha's Vineyard Airport,205,0,205
McAllen-Miller International Airport (McAllen Miller International),3411,111,3300
McCarran International Airport,133181,936,132245
McClellan-Palomar Airport,641,13,628
McGhee Tyson Airport,6963,172,6791
Meadows Field,2637,42,2595
Melbourne International Airport,1332,5,1327
Memphis International Airport,14770,345,14425
Mercedita Airport,749,11,738
Meridian Regional Airport,907,14,893
Merle K. (Mudhole) Smith Airport,662,9,653
Miami International Airport,69341,783,68558
Midland International Airport,7527,251,7276
Minneapolis-Saint Paul International Airport,112117,808,111309
Minot International Airport,1850,27,1823
Missoula International Airport,2077,19,2058
Mobile Regional Airport,5018,96,4922
Monroe Regional Airport,2961,73,2888
Monterey Regional Airport (Monterey Peninsula Airport),2974,134,2840
Montgomery Regional Airport,3171,54,3117
Montrose Regional Airport,1001,29,972
Muskegon County Airport,667,49,618
Myrtle Beach International Airport,4831,98,4733
Nantucket Memorial Airport,492,6,486
Nashville International Airport,47580,1066,46514
Natrona County International Airport,1774,29,1745
Newark Liberty International Airport,101772,3110,98662
Newport News/Williamsburg International Airport,1263,27,1236
Niagara Falls International Airport,322,10,312
Nome Airport,663,27,636
Norfolk International Airport,9374,263,9111
Norman Y. Mineta San José International Airport,38200,438,37762
Northeast Florida Regional Airport (St. Augustine Airport),155,11,144
Northwest Arkansas Regional Airport,9283,296,8987
Northwest Florida Beaches International Airport,4169,20,4149
Oakland International Airport,42316,573,41743
Ontario International Airport,17978,182,17796
Orlando International Airport,110982,1118,109864
Pago Pago International Airport (Tafuna Airport),107,0,107
Palm Beach International Airport,22573,354,22219
Palm Springs International Airport,8987,101,8886
Pellston Regional Airport of Emmet County,753,21,732
Pensacola International Airport (Pensacola Gulf Coast Regional Airport),6534,108,6426
Petersburg James A. Johnson Airport,664,9,655
Philadelphia International Airport,66021,1074,64947
Phoenix Sky Harbor International Airport,146815,902,145913
Piedmont Triad International Airport,6737,256,6481
Pittsburgh International Airport,24118,388,23730
Plattsburgh International Airport,281,2,279
Pocatello Regional Airport,654,2,652
Port Columbus International Airport,24187,538,23649
Portland International Airport,47085,212,46873
Portland International Jetport,4681,138,4543
Pueblo Memorial Airport,264,11,253
Quad City International Airport,3777,147,3630
Rafael Hernández Airport,1343,11,1332
Raleigh-Durham International Airport,31896,741,31155
