Pago Pago International Airport (Tafuna Airport),0
Martha's Vineyard Airport,0
Lewiston-Nez Perce County Airport,0
King Salmon Airport,0
Dillingham Airport,0
Westerly State Airport,0
Barnstable Municipal Airport,1
Canyonlands Field,1
Gustavus Airport,1
Cedar City Regional Airport,1
